voltage,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3,solute_1 transport over barrier 4
50.0,0.0000000000001190807710132763841238037718983826221873537339761111970778725471412701765713483021804769749625614753,0.000000000000002235286284890915700986721677800836119874759105257157859249507336263036935847803415582002888331067544,0.00000000000002994556744888344944927995606187876510002099448688329450195451118525575856393988609963624345704532168,0.00000000000005425139769088937804105971485293512760574206414421563840216751169839460364970730451032745469606542202,0.00000000000005268762218975967743273473562773330555157833187247479800609877422548192560751813271569067602029072595
60.0,0.0000000000001823227328032038704899054745024432577340522129593509243360627861052783516742404896389771465987437233,0.00000000000006207662716370426055502154565929262504283048406391051282782986779341400327222050295771794291500120944,0.00000000000007347801759211768165083323244109689723125725549172970466297069104275340385859874199963700253773764792,0.00000000000002458945718837862052741019771636624985371741499625290491219016162643073243436885058597137271429443495,0.000000000000002120472356357132839372338322676911917575367091766092905518302147211726880808647889698223060487962109
70.0,0.000000000000346505788261179061603189018605028009922898886501399310027434339889268223554004504644213333782254214,0.0000000000001470009559065267313621495637687534489074837798329889352868754117660928775399754507054861134871007374,0.00000000000005332691618556228340958724855446943950485960697844293439898285186914177270678474533272391748846245499,0.00000000000004970554134084087147451887561189679895837517434914835663966577561608083408276771643789355041727189984,0.00000000000001661934389588615334048510463657403760185831259968425983863248803129680392697576956458239962848166798
80.0,0.0000000000007406212980415089652803497162156083507375253032483044225205866567202508526421012375901572636335305155,0.0000000000003636690982955074502209599871932744029443729977444597375734909921970895140512377609696875623126858476,0.00000000000008564627498939541575139262810212940826199996543179874505137545622345654423465766853464850685770149855,0.00000000000006554612477772353253771194225027833455372509684124987640011247734183764331805329224042654466483929806,0.00000000000008447603873876727674375116445008986468307554013074426014199719411920164067086957993337209635189198654
90.0,0.0000000000001939381676372170956773854046556201051915301782767706152918158988066141495147212237829941633380358065,0.00000000000009336271172245424602616831975053449728689434479954393297623709923296717227497555382514985926315637786,0.00000000000005360989240426238319348595313093028401525841389160572711827919400050277783406134848410531107916632195,0.00000000000001346784619682740605834868205535839883439641776464611092361665023233051713352680229026934717245623204,0.000000000000004227508158061311351644503914030640199561605310316030400319063276944523870192771241714307362662570336
100.0,0.00000000000005370109464799748201247678752940004252737457585514759614157994788326473169563158864012466871192589199,0.0000000000001258816796211947153546350391347683552379847443981327028443316722908657129061528261412341052382454482,0.0000000000001198734895379069182805443294800455652404082993540757897436465230528327920072154816801891643211424468,0.000000000000009919877055858232210428946211705665255181479200413963130058687198837181520742093724477064391928986928,0.00000000000002391155259228186923228402348982723100296224163177937720014739090392765745091519234229185765319684515
-150.0,3.231385632625975189408537261588220353831534267584107051538259460548306144302819358041194076053192497,0.01179483194875118307594503008747799802756329188472591986845448108670208576845487219870719528421210251,3.993100002237627494620311602434487766309456232964945700845792552966587580781041262162030874793555654,3.993124032820118952946618894849395224536949949349145738949109893671097511180922628011508146407574901,3.951882124163816362186910067718794737848132660488594186629590712637124523226267805581728153792326957
-140.0,4.585837754721329826020115102006434696331291596322146602922309733715853008970066177124488853633445747,0.07188979173331472676716669110345632934212701312567506227775602435068259507525260060658495957251702542,17.78902988838373084938663586283945304154291244408179742881899403891642676409836477861817766971801695,17.78905724158033372507288141245515859670580333541111373818662962960004242304413721754708309272422362,17.62379270276607083988397717956448958394951121692083633758246776738720661608311944823608823745433734
-130.0,3.148304066313565097469055485737653760144435690672747086925612137768330697888261039472983610018982231,0.01537595925243249367421938004830239602625940786614220993168502740820941908235504022719927769549259539,3.099139690265766810311652032514890327258506784492411537177549362710956747732617564624758727959146128,3.099097681221298227112366343240616784875831458433688517276553038213379313408169710509272894434384649,3.070126812498809083243632795793182985874137861105954729546081460155675411571586308137679519956165059
-120.0,10.6507191587467238747126334068506330049039685667418992335496133785192384269118090721286046732037133,0.08715307387672846610177475291931062857065310015303035106994055328166440260359052942933108351173269411,12.12300886580096965040011731063823836448302286372282749853938070739755025165842038237923201722650174,12.12308907740719373304371914007851518256701976521606299591396385485527638549315148690016700370985723,12.17058577476773822899865012994995303112649889027258220409389147064956626963501284740491340052077491
-110.0,1.998947821644377256475022208372040101645439950544765370223375262049413079209972316001734399554928944,0.02275621350399092277232932647034628354408670070673874963818656282392488086437082908537114330897168039,2.382720997600050417185307280720278485442630800090319465516148134857216331463076631608836421450413544,2.382712772743447323995178899300023493720301306634222268742210860063023304999242138353166639488903273,2.544549793982885842369793163578188045985323301973067385482919338851185023110785840276385156219685308
-100.0,7.029819828622606090116680084067791014859218048397942605231252110577489738429592146891541231065737769,0.09895720423826383900292055399137822505351869261658043451565403678764797567980946409207574349730106957,7.790739935980591561646740787047104068153578431704753835232801380130175440786397879574379521751178408,7.790572511189152017756806589925315681036989759627837322337299646182741459464299655825286687468992865,7.828050608797234865032587730187843576385884428360387897585747711544026517443491015956353277144953194
-90.0,5.714144241382417388401965588696529281348832177629627102263061338274981096364255170180888366247289299,0.02943463983587135752518040294306450537702156238079679384178318443038009226752391882753423812455290198,1.654408009112458830748785831401556194636569248652766334104748610382768476207380052879981296488762059,1.654443623909281975377324939253590464195076611715214414637689691326481034464103091832758591547137244,1.601372615547061921404887622893205695486229391204969804509351628077120268814888462914446330467799487
-80.0,1.210679901075023282555960984168736436935672090344007633024029867294687957444563976496380234781699218,0.05987717669615158524390439157747818142543765855351355628558322106626368968866635070347487244727947487,2.733880609325024316905582491981963891587870788094505644826259013494972807219500288424430113260988425,2.733875292341149491435124210019415696937100254975606015140154867596512872741607595777797470646119718,2.714179125444850740306545731774002557335345677232388613494003766508552752363548431962090961408275776
-70.0,3.498469378611616700257439387831134455152071262953111827084443062511968351196314941784569670185156374,0.1201066421341703403065321303966972808807761168021444704323488516019832988999064507369414259397652175,4.261647872933826314110264513625261725907590795010784950473196745129072055146185087879769126734359564,4.261716790687581287682513624840836239590957603454242867408279883768983090700992806401993026407446751,4.255973789910092540728647421892615604410445762221636973803624243801789931742280349032428604417101963
-60.0,3.707167528307884267112717024156066144422997296264316860696932432808050796282180981164695724742666816,0.2123850583082774757673891585137987075190608305125692270416946110313038650414416646877293603992489749,5.954119658949169648534277836955778719400084054085582875714283077380613871802665083868638105088419995,5.954029073726501925072400796021292188150481674975427908636872419764677868343729110227286370663987888,5.933101684491319059385133524652913297644220525721559523300667139716984274835727055571489212862838484
-50.0,1.838407881625381187827393816617564653279196368597631914913477991390011977206261652885320779341062,0.1535645356382437678483365403781499687042384285984060376394890164496972006328512276382512122638472855,3.397641422155908975921488169704882062334406671595894779874766008532546553298280870467261041229251465,3.397592483951294747774248661640559004955152128662820686721009465508663355875937841274576838076866894,3.411647390033857920838133363858977756578350004120430856458836159674214955687148533402131178072149282
-40.0,1.579898276077205645852368486723245442657548191210108967259657235506219647914310972358490057193329461,0.00361058228843220915882285656942221891033162363800334215347950613038458308767811653404642301833727418,0.04258809563908492306242813861511757902143267567506352179249643968930162666843638335048973631565998287,0.04263306053939444789122960332990968489339545742484856156105588674934722047636862681051048543641206805,0.1275941037835759227602595012676333022543697291085406483014700276628746218752866437320344959870792784
